接口,涉及错误码
ListCollections,80000
ListCollections,80001
ListCollections,80002
ListCollections,90103
ListCollections,80020
ListCollections,90011
ListCollections,90102
ListCollections,80022
CreateCollection,80000
CreateCollection,80001
CreateCollection,80002
CreateCollection,80007
CreateCollection,80010
CreateCollection,80014
CreateCollection,90013
CreateCollection,90014
CreateCollection,90015
CreateCollection,90112
CreateCollection,90113
CreateCollection,90016
CreateCollection,90017
CreateCollection,90018
CreateCollection,90019
CreateCollection,90020
CreateCollection,90100
CreateCollection,90023
CreateCollection,90025
CreateCollection,90027
CreateCollection,90110
CreateCollection,90102
CreateCollection,90106
CreateCollection,80022
CreateCollection,90114
CreateCollection,90122
CreateCollection,90136
CreateCollection,90139
DescribeCollection,80000
DescribeCollection,90103
DescribeCollection,80020
DescribeCollection,90011
DescribeCollection,90102
DescribeCollection,90001
DescribeCollection,80001
DescribeCollection,80002
DescribeCollection,80022
DropCollection,80000
DropCollection,90103
DropCollection,80020
DropCollection,90011
DropCollection,90102
DropCollection,90001
DropCollection,80001
DropCollection,80002
DropCollection,80022
DropCollection,90138
DropCollection,90139
Search,80000
Search,90103
Search,80020
Search,90011
Search,90005
Search,90004
Search,90111
Search,90102
Search,90001
Search,90115
Search,90002
Search,90006
Search,90007
Search,90110
Search,80001
Search,80002
Search,80022
Search,90125
Search,90126
Search,90135
Search,90139
Query,80000
Query,90103
Query,80020
Query,90011
Query,90005
Query,90004
Query,90102
Query,90001
Query,90002
Query,90110
Query,80001
Query,80002
Query,90134
Query,90139
Get,80000
Get,90103
Get,80020
Get,90011
Get,90102
Get,90001
Get,90002
Get,90110
Get,80001
Get,80002
Get,90133
Get,90139
Get,90140
Delete,80000
Delete,90103
Delete,80020
Delete,90011
Delete,90110
Delete,90102
Delete,90001
Delete,80001
Delete,80002
Delete,80022
Delete,90123
Delete,90124
Delete,90127
Delete,90128
Delete,90129
Delete,90132
Delete,90139
Delete,90140
Insert,80000
Insert,90103
Insert,80020
Insert,90011
Insert,90109
Insert,90102
Insert,90001
Insert,90108
Insert,90107
Insert,90111
Insert,90010
Insert,80001
Insert,80002
Insert,80022
Insert,90115
Insert,90118
Insert,90119
Insert,90120
Insert,90121
Insert,90131
Insert,90139
Upsert,80001
Upsert,80002
Upsert,90148
Upsert,90149
Upsert,90150
Upsert,90151
Upsert,90152
ListClusters,80003
ListClusters,80004
ListClusters,80001
ListClusters,80002
ListClusters,90117
DescribeCluster,90103
DescribeCluster,80020
DescribeCluster,80001
DescribeCluster,80002
DescribeCluster,90117
SuspendCluster,90103
SuspendCluster,80020
SuspendCluster,90102
SuspendCluster,80021
SuspendCluster,80001
SuspendCluster,80002
SuspendCluster,90117
ResumeCluster,90103
ResumeCluster,80020
ResumeCluster,90102
ResumeCluster,80021
ResumeCluster,80001
ResumeCluster,80002
ResumeCluster,90117
Import,90011
Import,47005
Import,47053
Import,80020
Import,10003
Import,83001
Import,47005
Import,90103
Import,83001
Import,40021
Import,40022
Import,40003
Import,47039
Import,83004
Import,47035
Import,47036
Import,47055
Import,90142
Import,90117
Import,90104
Import,80020
Import,90011
Import,90145
Import,90102
Import,80020
Import,90102
GetImportProgress,90144
GetImportProgress,90103
GetImportProgress,40021
GetImportProgress,40022
GetImportProgress,90117
GetImportProgress,90104
GetImportProgress,80020
GetImportProgress,90102
GetImportProgress,80020
GetImportProgress,90102
ListCloudProviders,90117
ListCloudProviders,80001
ListCloudProviders,80002
ListCloudProviders,63032
ListCloudRegions,90117
ListCloudRegions,80001
ListCloudRegions,80002
ListImportJobs,40021
ListImportJobs,40022
ListImportJobs,80000
ListImportJobs,80003
ListImportJobs,80004
ListImportJobs,80020
ListImportJobs,90102
ListImportJobs,90104
ListImportJobs,90117
CreatePipeline,10041
DescribePipeline,10041
DropPipeline,10041
ListPipelines,10041
RunPipeline,10041
DropCluster,90103
DropCluster,80020
DropCluster,90102
DropCluster,80021
DropCluster,80001
DropCluster,80002
CreateServerlessCluster,80014
CreateServerlessCluster,80021
CreateCluster,80014
CreateCluster,80005
CreateCluster,80006
CreateCluster,80009
CreateCluster,80013
CreateCluster,80020
ModifyCluster,80014
ModifyCluster,80006
ModifyCluster,80021
